City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
97,Osias,7.6,124.82,70.99,84,100,1.07,PH
98,Butaritari,3.07,172.79,82.49,74,37,11.52,KI
99,Avarua,-21.21,-159.78,73.4,73,21,8.05,CK
100,Klaksvik,62.23,-6.59,51.8,93,95,9.17,FO
101,Santa Cruz,-17.8,-63.17,89.6,43,59,8.05,BO
102,Sambava,-14.27,50.17,72.73,85,39,11.36,MG
103,Takoradi,4.88,-1.76,76.24,81,92,10.54,GH
104,Mazagao,-0.12,-51.29,91.4,63,75,12.75,BR
105,Bahia Honda,22.9,-83.16,85.93,72,60,4.72,CU
106,Adrar,20.5,-10.07,100.13,9,42,12.97,MR
107,North Bend,43.41,-124.22,72.0,55,1,11.41,US
108,Nome,64.5,-165.41,52.0,76,20,10.29,US
109,Sao Miguel Dos Campos,-9.78,-36.09,82.4,61,75,12.75,BR
110,Cabo San Lucas,22.89,-109.91,88.0,83,40,10.29,MX
111,Jilin,43.0,126.0,62.51,92,32,2.98,CN
112,Tazmalt,36.39,4.4,78.8,69,75,4.7,DZ
113,Pitsunda,43.16,40.34,75.2,69,0,2.24,GE
114,Fomboni,-12.28,43.74,76.98,67,0,5.21,KM
115,Prince Rupert,54.32,-130.32,53.6,93,90,9.17,CA
116,Faya,18.39,42.45,80.6,16,80,12.75,SA
117,Barrow,71.29,-156.79,39.2,86,90,10.29,US
118,Saint George,37.1,-113.58,91.99,26,1,6.17,US
119,Kui Buri,12.08,99.85,78.75,87,61,5.32,TH
120,Kharp,66.8,65.81,46.02,78,100,9.17,RU
121,Altay,47.87,88.12,56.14,52,0,3.18,CN
122,Moussoro,13.64,16.49,89.15,51,31,8.95,TD
123,Ahipara,-35.17,173.17,53.19,87,36,5.59,NZ
124,Kupang,-10.17,123.58,75.42,84,39,11.97,ID
125,Kilrush,52.64,-9.48,60.8,59,75,1.12,IE
126,Batemans Bay,-35.72,150.18,46.0,92,81,1.01,AU
127,Praia,14.92,-23.51,84.2,74,75,10.29,CV
128,Rawson,-43.3,-65.1,52.52,50,9,21.12,AR
129,Pell City,33.59,-86.29,89.01,79,20,5.08,US
130,Ndele,8.41,20.65,71.69,96,94,1.7,CF
131,Mackenzie,55.3,-123.17,46.4,87,90,9.17,CA
132,Lasa,46.62,10.7,55.99,87,40,2.24,IT
133,Otradnoye,59.78,30.82,60.8,82,20,4.47,RU
134,Pisco,-13.7,-76.22,64.99,77,100,5.82,PE
135,Nizhnyaya Tavda,57.67,66.17,68.07,72,69,9.91,RU
136,Salta,-24.79,-65.41,51.8,93,90,3.36,AR
137,Terney,45.05,136.61,56.61,76,71,13.42,RU
138,Salalah,17.02,54.09,77.0,94,90,3.36,OM
139,Vila Velha,-20.33,-40.29,80.6,74,20,16.11,BR
140,San Juan,-31.54,-68.54,59.81,33,18,3.09,AR
141,Thompson,55.74,-97.86,53.6,100,90,4.7,CA
142,Savinskiy,62.93,40.14,45.79,96,59,4.74,RU
143,Jamestown,42.1,-79.24,69.01,68,90,8.05,US
144,Coquimbo,-29.95,-71.34,59.0,67,0,12.75,CL
145,Port Lincoln,-34.73,135.87,51.84,63,42,6.31,AU
146,Dikson,73.51,80.55,41.38,96,100,16.6,RU
147,Haines Junction,60.75,-137.51,46.8,75,100,4.14,CA
148,Longyearbyen,78.22,15.64,41.0,75,75,21.92,SJ
149,Ayan,56.45,138.17,51.84,63,100,2.15,RU
150,Tuktoyaktuk,69.45,-133.04,41.0,93,90,16.11,CA
151,Homer,59.64,-151.55,53.01,87,75,5.82,US
152,Batamshinskiy,50.56,58.27,68.0,34,19,6.71,KZ
153,Palmer,42.16,-72.33,73.99,43,40,16.11,US
154,Camopi,3.17,-52.32,93.79,42,20,5.32,GF
155,Nemuro,43.32,145.57,55.62,78,96,16.35,JP
156,Hervey Bay,-25.3,152.85,62.01,77,90,5.82,AU
157,Hilo,19.73,-155.09,73.4,83,1,7.23,US
158,Namatanai,-3.67,152.43,79.02,85,57,7.2,PG
159,Flagstaff,35.2,-111.65,77.0,46,1,9.17,US
160,Northam,51.03,-4.22,62.01,72,32,8.01,GB
161,Marzuq,14.4,46.47,85.39,36,97,3.36,YE
162,Touros,-5.2,-35.46,84.2,54,20,16.11,BR
163,Yaan,7.38,8.57,75.97,92,26,4.29,NG
164,Port Hawkesbury,45.62,-61.35,75.99,88,90,9.17,CA
165,Fortuna,40.6,-124.16,66.0,67,1,4.7,US
166,Kandrian,-6.22,149.55,77.85,88,88,11.07,PG
167,Novaya Igirma,57.13,103.91,50.85,82,15,2.15,RU
168,Raudeberg,61.99,5.14,53.01,73,0,17.13,NO
169,Ribeira Grande,38.52,-28.7,78.8,88,40,12.75,PT
170,Tacuarembo,-31.73,-55.98,54.34,58,70,8.48,UY
171,Severo-Kurilsk,50.68,156.12,49.35,89,29,15.28,RU
172,Sitka,57.05,-135.33,53.6,81,90,13.87,US
173,Quebec,46.81,-71.21,60.01,62,75,8.05,CA
174,Palkonda,18.6,83.75,81.21,85,19,0.25,IN
175,Trairi,-3.28,-39.27,86.36,51,49,18.72,BR
176,Vanavara,60.34,102.28,49.01,90,23,2.82,RU
177,High Level,58.52,-117.14,50.0,66,20,18.34,CA
178,Yar-Sale,66.83,70.83,38.98,90,47,8.39,RU
179,Linares,-35.85,-71.6,54.88,61,0,9.95,CL
180,Vitim,59.45,112.56,51.42,87,73,0.72,RU
181,Aasiaat,68.71,-52.87,41.9,73,0,9.01,GL
182,Maudaha,25.68,80.12,81.66,80,33,8.14,IN
183,Caravelas,-17.71,-39.25,79.56,68,40,9.86,BR
184,Kavieng,-2.57,150.8,82.22,75,90,7.18,PG
185,Nikel,69.41,30.22,48.2,87,75,18.34,RU
186,Fenoarivo,-18.93,47.44,57.2,87,20,5.82,MG
187,Nouadhibou,20.93,-17.03,80.6,65,0,20.8,MR
188,Shitanjing,39.23,106.34,58.35,66,7,6.06,CN
189,Kruisfontein,-34.0,24.73,48.0,78,92,8.41,ZA
190,Sheridan,44.83,-106.92,68.0,37,1,17.22,US
191,Severo-Yeniseyskiy,60.37,93.04,46.58,95,36,1.88,RU
192,Jaciara,-15.97,-54.97,107.15,9,0,3.38,BR
193,Tambopata,-12.73,-69.18,95.0,47,20,8.05,PE
194,Inhambane,-23.86,35.38,72.27,82,80,12.39,MZ
195,Araouane,18.9,-3.53,95.4,36,52,9.04,ML
196,Upernavik,72.79,-56.15,42.22,75,38,7.92,GL
197,Esperance,-33.87,121.9,44.6,87,66,12.75,AU
198,Mogadishu,2.04,45.34,78.15,83,52,14.14,SO
199,Ghanzi,-21.57,21.78,58.84,31,0,7.72,BW
200,Provideniya,64.38,-173.3,46.53,73,45,21.43,RU
201,Tucuman,-26.82,-65.22,53.6,58,90,9.17,AR
202,Aban,56.67,96.06,53.51,94,99,2.75,RU
203,Chuy,-33.7,-53.46,52.23,58,98,5.03,UY
204,Maraa,-1.83,-65.37,88.66,54,94,3.89,BR
205,Coahuayana,18.73,-103.68,75.2,83,90,1.72,MX
206,Luena,-11.78,19.92,69.42,60,57,0.85,AO
207,Dunhua,43.37,128.24,60.69,95,64,3.96,CN
208,Grand Baie,-20.02,57.58,70.0,80,2,8.99,MU
209,Beloha,-25.17,45.05,77.05,54,63,4.09,MG
210,Baruun-Urt,46.68,113.28,46.9,96,89,0.63,MN
211,Mar Del Plata,-38.0,-57.56,59.0,26,0,23.04,AR
212,Killybegs,54.63,-8.45,57.2,67,90,2.08,IE
213,Cidreira,-30.18,-50.21,58.08,92,100,14.61,BR
214,Gumdag,39.21,54.59,78.49,38,0,17.49,TM
215,Iqaluit,63.75,-68.51,51.8,66,20,5.82,CA
216,Stornoway,58.21,-6.39,55.99,76,60,4.7,GB
217,Zverinogolovskoye,54.46,64.85,70.11,62,64,6.06,RU
218,Saint-Philippe,-21.36,55.77,68.0,77,29,8.05,RE
219,Hassan,13.0,76.1,68.23,91,76,9.46,IN
220,Padang,-0.95,100.35,77.88,81,99,5.26,ID
221,Tuatapere,-46.13,167.68,45.0,72,57,11.01,NZ
222,Anchorage,61.22,-149.9,53.01,87,40,5.59,US
223,Alofi,-19.06,-169.92,66.2,100,36,3.36,NU
224,Keti Bandar,24.14,67.45,81.84,84,100,12.26,PK
225,Butiama,-1.77,33.97,73.4,83,20,4.88,TZ
226,Turukhansk,65.82,87.98,51.46,96,83,4.97,RU
227,Bathsheba,13.22,-59.52,87.8,70,40,14.99,BB
228,Hamakita,34.8,137.78,82.0,87,99,1.05,JP
229,Tasiilaq,65.61,-37.64,44.6,70,100,2.24,GL
230,Ardatov,55.24,43.1,64.22,74,58,12.44,RU
231,Fare,-16.7,-151.02,77.23,74,8,23.17,PF
232,Chipoka,-13.99,34.52,75.88,40,0,3.87,MW
233,Leningradskiy,69.38,178.42,35.33,91,100,10.13,RU
234,Isangel,-19.55,169.27,68.25,83,98,12.62,VU
235,Sao Jose Da Coroa Grande,-8.9,-35.15,79.36,71,9,11.1,BR
236,Hvolsvollur,63.75,-20.22,51.8,100,90,26.4,IS
237,Shkurinskaya,46.59,39.36,76.33,32,0,9.86,RU
238,Mbeya,-8.9,33.45,63.12,39,6,6.67,TZ
239,East London,-33.02,27.91,51.8,62,30,10.29,ZA
240,Burnie,-41.07,145.92,44.01,68,62,15.01,AU
241,Nanortalik,60.14,-45.24,48.4,74,100,10.47,GL
242,Hangu,39.25,117.79,73.4,94,0,2.24,CN
243,Naze,28.37,129.48,82.4,88,20,6.93,JP
244,Tanggul,-8.16,113.45,70.14,76,76,1.88,ID
245,Luxor,25.7,32.64,96.8,32,0,3.36,EG
246,Talnakh,69.49,88.4,48.2,100,90,13.42,RU
247,Saldanha,-33.01,17.94,50.0,66,0,4.7,ZA
248,Barrhead,55.8,-4.39,59.0,58,64,4.7,GB
249,Guerrero Negro,27.98,-114.06,79.43,61,1,7.78,MX
250,Atakpame,7.53,1.13,75.29,85,76,3.22,TG
251,Morondava,-20.28,44.28,75.33,86,0,13.91,MG
252,San Cristobal,7.77,-72.22,86.0,58,40,9.17,VE
253,San Jose,37.34,-121.89,73.0,66,0,1.01,US
254,Kaya,13.09,-1.08,81.95,71,76,7.36,BF
